,functionality,templ_id,case_templ
0,derog_neg_emote_h,1,I hate [IDENTITY_P].
7,derog_neg_emote_h,2,I really can't stand [IDENTITY_P] like you.
14,derog_neg_emote_h,3,I despise [IDENTITY_P].
21,derog_neg_emote_h,4,I detest [IDENTITY_P].
28,derog_neg_emote_h,5,I absolutely loathe [IDENTITY_P].
35,derog_neg_emote_h,6,Disgusted by all the [IDENTITY_P] around here.
42,derog_neg_emote_h,7,I have so much disdain for these [IDENTITY_P].
49,derog_neg_emote_h,8,I have so much hatred for you [IDENTITY_P].
56,derog_neg_emote_h,9,So sick of being around [IDENTITY_P] like you.
63,derog_neg_emote_h,10,I feel nothing but contempt for [IDENTITY_P].
70,derog_neg_emote_h,11,These [IDENTITY_P] disgust me so much.
77,derog_neg_emote_h,12,[IDENTITY_P] are the absolute worst.
84,derog_neg_emote_h,13,You [IDENTITY_P] make me sick.
91,derog_neg_emote_h,14,There is nothing worse than a [IDENTITY_S].
98,derog_neg_emote_h,15,Seeing [IDENTITY_P] in this place makes me so angry.
105,derog_neg_emote_h,16,[IDENTITY_P] who think they are my equal fill me with so much rage.
112,derog_neg_emote_h,17,[IDENTITY_P] like you make me furious.
119,derog_neg_emote_h,18,You and all the other [IDENTITY_P] in this country make me boil with anger.
126,derog_neg_emote_h,19,The utter scorn I feel for [IDENTITY_P] is hard to to put into words.
133,derog_neg_emote_h,20,I absolutely abhor all [IDENTITY_P].
140,derog_neg_attrib_h,21,[IDENTITY_P] are disgusting.
147,derog_neg_attrib_h,22,All [IDENTITY_P] are repulsive.
154,derog_neg_attrib_h,23,[IDENTITY_P] are absolutely despicable.
161,derog_neg_attrib_h,24,[IDENTITY_P] are just so sickening.
168,derog_neg_attrib_h,25,[IDENTITY_P] can't stop themselves from being absolutely revolting.
175,derog_neg_attrib_h,26,[IDENTITY_P] like you are repugnant.
182,derog_neg_attrib_h,27,You [IDENTITY_P] are all dishonest.
189,derog_neg_attrib_h,28,All [IDENTITY_P] like them are vile.
196,derog_neg_attrib_h,29,[IDENTITY_P] like you are just pathetic.
203,derog_neg_attrib_h,30,[IDENTITY_P] with any power are a threat to civilisation.
210,derog_neg_attrib_h,31,[IDENTITY_P] being in charge is a danger to our country.
217,derog_neg_attrib_h,32,It's in [IDENTITY_P]'s nature to be uncivilised.
224,derog_neg_attrib_h,33,Only [IDENTITY_P] are that violent and cruel.
231,derog_neg_attrib_h,34,Only [IDENTITY_P] can be so ignorant.
238,derog_neg_attrib_h,35,No one else is as filthy as these [IDENTITY_P].
245,derog_neg_attrib_h,36,Typical of a [IDENTITY_S] to be that stupid.
252,derog_neg_attrib_h,37,[IDENTITY_P] are without a doubt the stupidest people on this planet.
259,derog_neg_attrib_h,38,It's always the [IDENTITY_S] that is the dumb one.
266,derog_neg_attrib_h,39,[IDENTITY_P] are just the dumbest people.
273,derog_neg_attrib_h,40,[IDENTITY_P] really are brainless without exception.
280,derog_dehum_h,41,[IDENTITY_P] are scum.
287,derog_dehum_h,42,[IDENTITY_P] are worthless dirt.
294,derog_dehum_h,43,[IDENTITY_P] like you are absolute filth.
301,derog_dehum_h,44,You are nothing but common [IDENTITY_A] trash.
308,derog_dehum_h,45,[IDENTITY_P] are nothing but refuse.
315,derog_dehum_h,46,[IDENTITY_P] are parasites to our society.
322,derog_dehum_h,47,These [IDENTITY_P] are nothing but cockroaches.
329,derog_dehum_h,48,[IDENTITY_P] are human garbage.
336,derog_dehum_h,49,[IDENTITY_P] are lesser beings.
343,derog_dehum_h,50,[IDENTITY_P] are a pest.
350,derog_dehum_h,51,[IDENTITY_P] like you are no better than rats.
357,derog_dehum_h,52,Your [IDENTITY_A] lives are worthless.
364,derog_dehum_h,53,[IDENTITY_A] lives are worth absolutely nothing.
371,derog_dehum_h,54,That is fitting for [IDENTITY_A] vermin like you.
378,derog_dehum_h,55,[IDENTITY_P] are just a waste of space.
385,derog_dehum_h,56,[IDENTITY_P] are a virus.
392,derog_dehum_h,57,[IDENTITY_P] are a cancer.
399,derog_dehum_h,58,You and all other [IDENTITY_P] are a plague to society.
406,derog_dehum_h,59,[IDENTITY_P] are subhuman creatures.
413,derog_dehum_h,60,Swarms of [IDENTITY_P] are infesting our government.
420,derog_impl_h,61,[IDENTITY_P] belong in a zoo.
427,derog_impl_h,62,"[IDENTITY_P] who are sick should be taken to a vet, not a doctor."
434,derog_impl_h,63,My dog is smarter than any [IDENTITY_S] could ever be.
441,derog_impl_h,64,That monkey is more intelligent than all of you [IDENTITY_P] combined.
448,derog_impl_h,65,[IDENTITY_P] should be dumped in a landfill.
455,derog_impl_h,66,I would never eat food that has been touched by a [IDENTITY_S].
462,derog_impl_h,67,I care more about the dirt under my shoe than about [IDENTITY_P].
469,derog_impl_h,68,The life of any insect is more valuable than that of a [IDENTITY_S].
476,derog_impl_h,69,We should test new drugs on [IDENTITY_P] before testing them on animals.
483,derog_impl_h,70,I don't see any difference between a dead rat and a dead [IDENTITY_S].
490,derog_impl_h,71,It baffles me why people care even the slightest about the lives of [IDENTITY_P].
497,derog_impl_h,72,[IDENTITY_P] should all be locked up in cages.
504,derog_impl_h,73,Putting a [IDENTITY_S] in charge is the biggest mistake anyone can make.
511,derog_impl_h,74,Allowing any more [IDENTITY_P] into government will ruin our country.
518,derog_impl_h,75,Never trust a single word said by a [IDENTITY_S].
525,derog_impl_h,76,I would rather die than date a [IDENTITY_S].
532,derog_impl_h,77,I'd rather have cancer than be anywhere near a [IDENTITY_S].
539,derog_impl_h,78,"If I woke up as a [IDENTITY_S], I would kill myself."
546,derog_impl_h,79,There is nothing in the world I like less than a [IDENTITY_S].
